project;plan
mailjet_sign_up;"This module is Drupal 9 ready."
html5_audio_player;"We are ready to port this module in Drupal 9."
media_name;"8.x-1.x is Drupal 9 compatible."
webform_ip_geo;"The module is Drupal 9 ready."
aggrid;"Drupal 9 Ready!"
behat_ui;"<strong>Works and ready for Drupal 9.</strong>"
drowl_header_slides;"This module is Drupal 9 compatible in the latest branch."
drowl_media;"2.x branch is Drupal 9 compatible. 1.x will soon be deprecated."
taxonomy_custom_controller;"Ready as it will release."
custom_entity_pager;"This module is already compatible with Drupal 9."
hover_card;"This module is Drupal 9 ready."
drupal_yext;"This module is Drupal 9 compatible."
docbinder;"Drupal 9 is fully supported since version 1.1."
libraries_delay_load;"2.0+ is compatible with Drupal 9"
chat_livehelperchat;"Drupal 9 compatible."
scheduled_message;"2.x branch is now compatible with Drupal 9!"
galleriajs;"The module is compatible with Drupal 9."
crossword;"8.x-1.x-dev is compatible with D9."
shorthand;"<code>2.0</code> has Drupal 9 support."
datetime_flatpickr;"The latest releases are compatible with Drupal 9."
commerce_shopping_hours;"This module is Drupal 9 ready."
pdf_html;"Should be ready for use on Drupal 9"
popup;"[#3084134] [#3148456]"
dialog_api;"8.x-1.x-dev is Drupal 9 compatible."
microcontent;"Please use the issue queue if you find anything"
disable_enable_all_assign_block;"Disable And Enable All Assign Block is fully compatible with Drupal 9!"
gitlab_api;"This project is ready for Drupal 9"
jsonapi_role_access;"This module is Drupal 9 ready."
migrate_source_directory;"Compatible with Drupal 9."
facets_short_pretty_paths;"Is Drupal 9 compatible / dependencies might need patches"
elui;"This module should already be compatible with Drupal 9. So if you find any depricated code please create an issue for it. Or an issue with a patch is even better :)"
mosaicformatter;"No plan to port to Drupal 9"
cookie_samesite_support;"This is D9 compatible."
mailtoui;"This module is Drupal 9 compatible 🍻"
page_hits;"Module fully compatible with Drupal 9."
translate_tool;"This module is ready for Drupal 9."
academic_applications;"Help port this project at [#3124158]."
iubenda;"Drupal-9 compatible as of version 1.0-alpha3."
migrate_override;"Migrate upgrade is fully D9 compatible as of version 1.1-rc2"
first_time_login;"This module is Drupal 9 ready."
anonymous_publishing;"This project relies on community support (patches and sponsorship) to complete porting to Drupal 8 and Drupal 9."
sqrl;"This project is ready for Drupal 9"
jivochat;"ready for it"
paybox;"This module is Drupal 9 ready."
config2php;"Drupal 9 is fully supported since version 2.0.0-beta1"
autocomplete_field_match;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
h5p_analytics;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
ezcontent_api;"Help port this project at [#3128795]"
ezcontent_publish;"This module is Drupal9 ready."
seaside_admin;"This is module is Drupal 9 ready!"
memory_limit_policy;"This module is compatible with Drupal 9 starting 8.x-1.2 release."
react_calendar;"2.0.0 is Drupal 9 compatible."
recombee;"This module is Drupal 9 compatible."
kafka;"Drupal 9 port issue is [#3122332]"
reference_swiper;"The Module is Drupal 9 ready."
ckeditor_giella;"The module is Drupal 9 compatible."
slimbox2;"Once I've fine tuned the Drupal 8 version, I'll port it to Drupal 9. I will have a stable version ready for Drupal 9 on the launch of Drupal 9 in June 2020."
students;[#3082548]
psv;"This module is Drupal 9 ready."
mapbox_ui;"Release 8.x-1.3 or higher is D9 compatible!"
foundation_sites;"This module is Drupal 9 compatible in the latest branch."
blazy_video_embed_field;"Use 2.0+ of this module."
sharedemail_pass_reset;"Release <code>8.x-2.0</code> is D9 compatible!"
filter_empty_tags;"This module is available on both D8 and D9."
bootstrap_utilities;"Focus for now is getting a stable 8 version. If we don't use deprecated code, we will be fine for Drupal 9 🙌😄"
oh;"A Drupal 9 release will be made available in the near future."
filter_harmonizer;"Ready for use in D8 and D9."
apidae_tourisme;"<p><strong>The version 2.0.0-alpha2 is fully compatible with drupal 9 ! </strong> \\o/</p>"
random_reference_formatter;"This module is D9 compatible since version 1.2"
entity_collector_downloader;"8.x-1.0-alpha13+ is Drupal 9 compatible."
fivestar_smiley;"This module is Drupal 9 ready."
hanging_conjunctions_filter;"This module supports Drupal 9."
loco_translate;"Loco Translate is ready for Drupal 9"
monitoring_hrm;"Version 1.1 is compatible with D8.8 + D9.0"
push_framework;"This project is ready for Drupal 9"
entity_collector;"8.x-1.0-alpha19+ is Drupal 9 compatible."
commerce_sage;"Ready for testing with Drupal 9"
block_component_library;"We're happy to announce that this module is Drupal 9 compatible! :)"
landing_page_scheduler;"This module is already fully compatible with Drupal 9"
disable_autopopulate_rform;"This module is compatible with Drupal 9."
url_replace_filter;"Version 1.0 is compatible with Drupal 9."
formstack;"Use version ^3.0.0"
video_embed_dacast;"Fully compatible as of 8.x-1.0."
instagram_formatter;"This module is ready for Drupal 9"
gmap_static;"<a href=""https://www.drupal.org/project/gmap_static/issues/3103471"">#3103471: Add new key core_version_requirement in gmap_static.info.yml</a>"
entity_reference_number_widget;"Full supported as of the <a href=""https://www.drupal.org/project/entity_reference_number_widget/releases/8.x-1.0"">8.x-1.0</a> release."
mynotes;"This module is Drupal 9 ready."
group_extras;"Ready for Drupal9"
seaside_admin_toolbar;"This is module is Drupal 9 ready!"
search_api_recombee;"This module is Drupal 9 compatible."
drowl_admin;"We're happy to announce that this module is Drupal 9 compatible in the 2.x branch! :)"
teamleader;"This project will be compatible with Drupal 9 when it is released."
taxonomy_class;"This module is Drupal 9 compatible 🍻"
dream_block_manager;Ready
pirate;"8.x-1.1 onwards is compatible with Drupal 9."
image_gen;"Ready ;)"
bestreply;"8.x-3.x branch is Drupal 9 compatible."
expose_actions;"This project is ready for Drupal 9"
queue_throttle;"Release <code>8.x-1.1</code> is D9 compatible!"
mailboxlayer;"Mailboxlayer is compatible with Drupal 9"
cocoon_media;"This module was made ready to use with Drupal 9 on DrupalCon Amsterdam 2019! [#3075156]"
cloud;"<a href=""https://www.drupal.org/project/cloud/issues/3071859"" title=""Fix Drupal 9 code deprecation"">Issue #3071859: Drupal 9 code deprecation / readiness / compatibility</a>"
popup_link_formatter;"Tested and it's working."
entity_form_monitor;"This module is Drupal 9 ready."
matrix_api;"Matrix API is fully compatible with Drupal 9."
ultimate_cron_views;"This project is now ready for Drupal 9."
commerce_yandex_kassa;"Ready to be used"
ik_modals;"Compatibility for D9 starts at version 3.0.0 and up"
image_approval;"8.x-1.6 is compatible with Drupal 9"
webtheme;"Drupal 9 ready"
config_revision;"D9 compatible."
search_365;"Ready for Drupal 9"
owntracks;"OwnTracks is compatible with Drupal 9."
media_entity_consent;"This module is compatible with Drupal 9 (tested by drupal-check)"
hidden_toolbar;"This module is Drupal 9 ready. v8.x-2.1"
pwa_firebase;"It will port to drupal 9 very soon"
link_no_protocol;"This project will be compatible with Drupal 9 when it is released."
athenapdf_api;"8.x-1.x-dev is Drupal 9 compatible."
fieldhelptext;"This project is Drupal 9 ready."
events_seats_field;"This module is developed with Drupal 8.8.1+"
webform_dynamic_autocomplete;"This module works for Drupal 9 as well as for Drupal 8 versions above 8.7"
behance_block;"This module is Drupal 9 ready."
ics_link_field;"8.x-1.x is Drupal 9 compatible."
search_api_opensolr;"Search API opensolr supports Drupal 8 and 9 in parallel."
go_back_history;"This module is compatible with Drupal 9."
info_messages;"Info Messages 8.x-1.1+ supports Drupal 9. Enjoy."
request_cleanup;"Help port this project at [#3088975]"
hypothesis;"This module is ready for Drupal 9. (https://www.drupal.org/project/hypothesis/issues/3142878)"
node_form_templates;"8.x-1.1 is compatible with Drupal 9."
remote_config_sync;"This module is Drupal 9 ready."
jquery_scrollup;"Compatible with Drupal 9"
commerce_direct_tax_field;"Not tested."
google_places_search_form;"8.x-2.0 is compatible for Drupal 9"
term_glossary;"This will have a stable Drupal 9 Release."
template_generator;"The module is porting by Drupal 9."
webform_sendgrid;"Compatible with Drupal 9."
simplenews_content_selection;[3097387]
projects_stats;"This module is Drupal 9 ready."
webdev;"<strong>Ready for Drupal 9.</strong>"
signageos;"This project is ready for Drupal 9"
userpoints_expire;"Ready for Drupal 9"
ui_patterns_entity_links;"Already compatible (no deprecated API & core_version_requirement is set)"
twig_backlink;"This module is Drupal 9 ready."
ui_patterns_views_style;"Already compatible (no deprecated API & core_version_requirement is set)"
sendgrid_api;"Fully compatible with Drupal 9."
password_policy_pwned;"The 8.x-1.x branch is compatible with Drupal 9."
toolbar_responsive_search;"Officially supports D9 as of the <a href=""https://www.drupal.org/project/toolbar_responsive_search/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> release."
hideblock;"Ready to be used with Drupal 9"
commerce_epn;"This project is ready for Drupal 9!"
eep;"This project is ready for Drupal 9"
graphql_flag;"8.x-1.x is Drupal 9 compatible."
commerce_banca_intesa;"This module is Drupal 9 ready."
mtc;"This module is fully compatible with Drupal 9!"
group_forum;"This project is ready for Drupal 9"
entity_link_template_condition;"Compatible with Drupal 9"
condition_pack;"Drupal 9 ready."
limit_domain_access_by_role;"Tested on Drupal 9 and confirmed fully functional."
custom_solr_search;"Custom SOLR search 8.x-2.0+ supports Drupal 9."
digital_signage_framework;"This project is ready for Drupal 9"
dev_modules;"This project is ready for Drupal 9"
migrate_source_html;"This module is Drupal 9 ready."
layout_builder_asset;"2.0.0-alpha1+ are compatible with Drupal 9."
fragments;"Fragments should be compatible with Drupal 9; it does not (or should not) use any code that will be deprecated in Drupal 9, so should be ready when Drupal 9 is released. Bug reports welcome when you tested Fragments on Drupal 9 and you've found a problem. In order to run the module on Drupal 9, at this time you need the latest development release."
current_year;"This module is compatible with Drupal 9 with effect from version 1.0.1"
commerce_payu;"D8 version will also D9 compatible."
commerce_fraud;"A Drupal 8 / 9 port is being developed on the 2.x branch. See the issue queue for progress."
commerce_gocardless;[#3083960]
media_pixabay;"Media Pixabay 8.x-1.0+ supports Drupal 9."
plausible;"This module will support Drupal 9 at launch."
media_library_filter;"To be reviewed"
openbusiness;"OpenBusiness 1.3 is now compatible with Drupal 9!"
inotherwords;"Avoiding deprecated functions, should be ready to go."
webcomponents;"Works now"
revue;"Revue >= 8.x-1.1 is Drupal 9 compatible."
lb_section_navigation;"The module is Drupal 9 ready"
vright;"Fully ported to Drupal 9"
jsonapi_reference;"No known compatibility issues with Drupal 9."
cakephpass;"Compatible since 8.x-1.2 release"
image_canvas_editor_api;"This module has no known issues with Drupal 9."
h5p_challenge;"Current codebase should have no issues working with upcoming Drupal version 9 as soon as the main H5P module catches up."
scripturefilter;"This module is compatible with Drupal 9 starting with release 2.0.0."
colofilters;"D9 readiness issue [#3139919]  The issue is now committed, use the latest release tag."
comment_anonymous_account_info;"Compatible with D8/D9"
rokka;"Branch 2.x supports Drupal 9."
processing;"Postponed pending investigation of p5.js compatibility."
bibcite_pubmed;"Currently no known Drupal 9 compatibility issues in latest dev."
transliterate_twig;"Compatible with D9"
thumbor_effects;"8.x-1.5+ is Drupal 9 compatible."
display_link_plus;"This module is ready for Drupal 9."
og_message;"Fully compatible as of 8.x-1.1-rc1."
delta_filter;"Drupal 9 ready."
dtuber;"Compatible with Drupal 9"
drush_lock;"Drush Lock is compatible with Drupal 9."
drush9_example;[#3083224]
ymb;"8.x-2.0+ is Drupal 9 compatible."
typedjs_filter;"Compatible with Drupal 9"
sitemap_status;"Is Drupal 9 ready"
sis;"8.x-1.0-alpha2+ is Drupal 9 compatible."
faker;"Release <code>8.x-2.0-alpha2</code> is D9 compatible!"
token_environment;"This module is ready for Drupal 9"
token_in_config;"This module is ready for Drupal 9"
kaltura_media;"This module should be compatible with both Drupal 8.8 and Drupal 9"
unlock;"No known deprecations to address."
language_popup;"Module is available for Drupal 8 as well as Drupal 9, but there may some errors in Drupal 9. Please create issue in case any error found."
field_permissions_group;"Project is compatible with Drupal 8.8 or 9."
layout_builder_bgcolor;"Fully compatible as of 8.x-1.0-rc1."
devel_snippet;"<a href=""https://www.drupal.org/project/devel_snippet/issues/3103474"">#3103474: Add new key core_version_requirement in devel_snippet.info.yml</a>"
danse;"This project is ready for Drupal 9"
commerce_stripe_ideal;"Drupal 9 supported by default on release of D8 version"
commerce_omnikassa;"This module should be D9 compatible. See issue [#3124114]."
commerce_donation_flow;"Ready for Drupal 9!"
commerce_bambora_europe;"This module is compatible with Drupal 9.0.0"
commerce_culqi;"Supported as of 2.0.0"
veracruz_content;"If realistic_dummy_content create a drupal 9 version. We will get a port to this module."
smart_content_paragraphs;"Drupal 9 compatibility is pending these issues from <a href=""https://www.drupal.org/project/smart_content_segments"">Smart content segments</a> being fixed: <ul>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3148855"">Automated Drupal 9 compatibility fixes</a></li>   <li><a href=""https://www.drupal.org/project/smart_content_segments/issues/3151673"">Update info.yml file to allow D9 compatibility</a></li> </ul>"
commerce_custom_shipping_by_weight;"I plan on testing this with Drupal 9 before tagging a 1.0 version."
version_information;"This module is Drupal 9 compatible 🍻"
config_pages_overrides;"Currently up to date for Drupal 9"
honey;"This theme was created for Drupal 9."
view_mode_switch;"This module is compatible with Drupal 9"
viewportchecker;"8.x-1.4+ is Drupal 9 compatible."
ssch;"This module is Drupal 9 ready, but depends on the <a href=""/project/vendor_stream_wrapper"">Vendor Stream Wrapper</a> module. Please help to make that module Drupal 9 compatible."
helloworld_rest;[#3082519]
batch_jobs;"The Batch Jobs project has been ported to Drupal 9 although there may be additional work as additional changes are made to Drupal 9."
adminrss;"Version 8.x-1.0 is compatible with Drupal 9.0"
backfill_formatter;"Please use the issue queue to report issues."
adsense_consent;"This module is compatible with Drupal 9 from version 1.0.0"
pagecss;"Will be ported to Drupal 9 by end of 2019."
arrival_message;"Drupal 9 compatible."
minesweeper;"This project is now ready for Drupal 9!"
permalink_block;"Tested in Drupal 9 and confirmed to be fully functional."
amazing_multiselect;"Porting this project to <strong>D9</strong> will start with <strong>Drupal 8.9</strong> first release ."
personified;"This module is Drupal 9 compatible."
personal_id;"This module is Drupal 9 compatible."
vrssfa;"8.x-1.3+ is Drupal 9 compatible."
bootstrap_pages;"This module currently has no known compatibility issues, and is aiming for a release together with Drupal 9."
botbattler;"This module is ready for D9."
media_fotoweb;"The module is Drupal 9 compatible."
azure_storage;"Release <code>2.0.0</code> is D9 compatible!"
gmessentials;"No porting it is required, this module it is very simple."
archivesspace;"Help port this project at [#3131265]."
commerce_tax_wa;"8.x-2.2 is compatible with Drupal 9."
editor_images_ext;"This module is ready for Drupal 9."
google_analytics_cookieless;"1.0+ is compatible with Drupal 9"
ggpushcast;"The module is ready for Drupal 9."
commerce_store_gateways;"Drupal 9 compatible."
entity_reference_preview;"This module is compatible with Drupal 9"
commerce_promo_link;"This module is ready for Drupal 9."
google_standout;"Google Standout Tag 8.x-1.x supports Drupal 9. Enjoy."
auto_anchors;"Automatic Anchors is compatible with Drupal 9."
pf_alerta;"This project is ready for Drupal 9"
whitelabel;"This module should be fully compatible with Drupal 9."
flexible_add_more_widgets;"flexible_add_more_widgets 8.x-1.x-dev supports Drupal 9"
browser_refresh;"This project is ready for Drupal 9"
service_comment_count_disqus;"The module is Drupal 9 compatible."
s_r_c_html5_validation;"Select Radio Checkbox Field HTML 5 Validation is fully compatible with Drupal 9!"
php_runtime_memory;"Drupal 9 compatibility"
asana;"This module is ready for Drupal 9."
nextpath_bat_booking;"The module is ready for Drupal 9"
sentry_io;"This module is Drupal 9 ready."
autoupdate;"This module is Drupal 9 ready."
vspfo;"This module is ready for Drupal 9."
service_comment_count;"The module is Drupal 9 compatible."
szentirashu_formatter;"Module is ready for Drupal 9."
block_place;"This is a direct port from Drupal 8 experimental core module."
number_formatter;"This module is ready for Drupal 9."
pug;"The module is fully compatible with Drupal 9."
moderation_state_sync;"8.x-1.x is Drupal 9 compatible."
image_alt;"Is Drupal 9 compatible."
timesup;"Times'up is already ready for Drupal9"
christmas_snow;"Module is fully compatible with Drupal 9!"
link_context;"Drupal 9 is fully supported since version 1.0."
digest;"This module is built with Drupal 9 in mind from the start. As soon as you see it, you will be good to go!"
yunke_captcha;"It already works for D9"
theme_by_author;"Ready for Drupal 9 :-)"
bootstrap_extras;"This is a Drupal 9 Native module"
entity_visibility_preview;"The module is compatible with Drupal 9 starting from version 8.x-1.4."
component_schema;"Component Schema is compatible with Drupal 9 but requires the bugfix patch from [#3152320]."
taxonews;"No Drupal 9 port planned."
notify_to_slack;"Send Notification to Slack 8.x-2.0 support Drupal 9."
confq_cfp;"Drupal 9 compatible."
drush9_batch_processing;[#3083225]
virustotal;"Module versions from <strong>8.x-1.2+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.1</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong> <strong>Releases:</strong> https://www.drupal.org/project/virustotal/releases"
bulk_invite;"This module is Drupal 9 ready: [#3070762]"
drupalorg_links;"Fully supported as of v8.x-1.1."
uc_payumoney;"It depended on <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> so we will wait till <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> release for Drupal 9"
symfony_validator_translator;"This project will be ported to Drupal 9 soon."
bisnode;"Fully supported: [#3138097]"
propellerads;"Made the Drupal 8 version. Further will do the Drupal 9 version."
cjk_tokenizer;"It already works for D9"
log_entity_operations;"This module is fully ready for Drupal 9!"
jsonapi_flysystem_uploader;"Fully supported as of v8.x-1.1."
config_entity_cloner;"Config Entity Cloner supports Drupal 9"
twig_n2w;"This module also works on Drupal9."
trial_role;"This module has no known issues with Drupal 9"
config_tweak;"Config Tweak is Drupal 9 compatible."
default_content_access;"This project is ready for Drupal 9"
contactmap;[#3125089]
alternative_user_emails;"Probably D9 ready, but not tested."
configurable_theme_libraries;"8.x-1.2+ is Drupal 9 compatible."
testpro;"Will support in Drupal 9 as well"
tugboat;"This is released in 8.x-4.0-alpha1"
xsl_formatter;"Fully compatible as of 8.x-1.0-alpha1"
tmgmt_plunet;"Drupal 9 compatible."
tmgmt_content_moderation;"Is Drupal 9 compatible"
datamaps;"I pledge this module will be written D9 compatability in mind from scratch."
custom_login_url;"Custom Login Url supports Drupal 9"
tns_gallup;"This module is ready for Drupal 9."
thumbor_effects_crop;"8.x-1.0+ is Drupal 9 compatible."
tidy_html;"This module is ready for Drupal 9!"
youtrack;"This project is ready for Drupal 9"
trackmyadmin;"This Module is Compatible with Drupal 9"
text_attributes;"The module is compatible with Drupal 9."
cookies_services;"Drupal 9 is supported."
content_packager;"Drupal 9 is fully supported."
contextly;"Our aim is to maintain the 8.x branch without any deprecated code, so that it is usable with Drupal 9 without any issues."
alias_manager;"Drupal 9 is also supported."
translated_config;"Fully compatible with Drupal 9."
aframe_extra;"D9 ready - But aframe main module (dependency) is not ready!"
token_var;"Token Variable 8.x-1.0+ supports Drupal 9."
crawlers_cache_context;"This module is currently fully compatible with Drupal 9"
token_tags;"1.0.0 is Drupal 9 compatible."
admin_user_path;"This module is compatible with Drupal 9."
county;"This module is compatible with Drupal 9."
advance_field_attributes;"This module also works with D9"
ckeditor_google_search;"Requires Drupal: ^8 || ^9"
clear_field;"Clear Field Value version 8.x-1.1+ supports Drupal 9"
city_weather_field;"This module will support Drupal 9."
views_exposed_groups;"Help port this project to Drupal 8.8 or greater at [#3154672]"
bankid_oidc;"Built to support Drupal 8 and Drupal 9"
video_embed_vidme;"Video Embed Vidme 8.x-1.1+ supports Drupal 9. Enjoy."
video_embed_twentythree;"Drupal 9 supported since 8.x-1.2."
colorbox_entity_display;"This module should be compatible with both Drupal 8 and 9, but has not been tested on Drupal 9 yet."
backward_compatibility;"What's better than Drupal 9? Drupal 9 that can run Drupal 8 modules."
coder;"Coder does not need to be ported to Drupal 9 since it applies to all Drupal versions."
bible_companion;"This module is working fully in Drupal 9"
cloudflare_image_style;"This is compatible with D9."
webform_media;"Drupal 9 compatible 🎉"
bulma_components;"Bulma Components is compatible with Drupal 9."
brickset_connect;"Branch 2.0.x should be D9 compatible."
cart_item_count;"Currently, it is in active development phase. it will be available very soon for D9."
bootstrap_govbr;"Theme is compatible with Drupal 9"
ukstyle;Ready
commerce_recurring_metered;"Drupal 9 readiness issue: [#3128960]"
usajobs;"Currently porting the module to Drupal 9"
commerce_rng;"Help port this project at [#3126897]"
anonymous_subscriptions;"Development release is available to use/test"
uc_edit_order_attributes;"No current plan, but we just got this one done!"
workflows_mbv;"<strong>Workflows Moderation Basic View</strong> supports Drupal 9."
commerce_xero;"Should be compatible"
api_response_check;"8.x-1.0 is Drupal 9 compatible."
api_redoc_document;"Ported to D9"
commerce_dellin;"As soon as Drupal Commerce Shipping will be ready."
webtest;"<h4><a href=""https://www.drupal.org/project/webtest/issues/3146694"">Ready to use in Drupal 9</a></h4>"
commerce_exchanger_cryptocompare;"The code of this project is Drupal 9 ready!"
commerce_findock;"Drupal 9 compatible."
autoservices;"Compatible with Drupal 9"
aws_cloudwatchlogs;"The module is supporting Drupal 8.8 and higher versions."
auto_recommended_tags;"<strong><a href=""https://www.drupal.org/project/issues/search/auto_recommended_tags?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
back_2_top;"This project is currently being tested for Drupal 9 compatibility."
vertical_image_scrolling;NA
vbo_add_to_wishlist;"Currently, it is in active development phase. it will be available very soon for D9."
vbo_add_to_cart;"Work in progress for D9. it will be available very soon."
auth_entity_access;"Fully supported as of 8.x-1.0-beta2."
user_guide;"This project is not a module, and does not need to be ported to Drupal 9."
commerce_paykings;"<h2>Drupal 9 Compatibility</h2> The Paykings Payment Gateway is safe to be installed on the D9 project."
commerce_nz;"This project is D9 Ready."
qwebirc;"This module is compatible with Drupal 9"
radius_login;"Currently no known issues with Drupal 9."
kiyoh_rating;"D9 Ready"
keyvalue_filestore;"Nothing in this module is D8 specific. It should work fine in D9."
recaptcha_preloader;"Ready for Drupal 9"
landbot;"This project supports Drupal 9."
lametric;"Drupal 9 is fully supported!"
pubble_field;"Fully supported as of 8.x-1.0-beta2."
protected_routes;"Not ready but planned."
log_cache_tags;"This will be available in Drupal 9."
login_gauth;"Will Be released before August"
liftigniter;"<p>LiftIgniter 8.x-1.x+ supports Drupal 9. Enjoy.</p>"
libravatar;"This project is ready for Drupal 9"
lingotek_copy_source;"D9 compatible"
qb_chantilly;"Currently, we have no plans to port this theme to Drupal 9"
qna;"8.x-1.0-alpha1+ is Drupal 9 compatible."
id4me;"This module is Drupal 9 ready."
image_moderate;"Dev.-Version from June 8th 2020  and later are Drupal 9 compatible!"
rules_session_vars;"Supports 8.x and 9.x core."
rollback;"No known issues with Drupal 9"
request_logger;"Works the same on Drupal 8 and 9."
jsnlog;"Version 1.1 is tested against Drupal 9.1."
rest_export;"The module is fully compatible with Drupal 9."
imotilux;[#3147806]
ndb;"Netlify Deploy Button 8.x-1.0 supports Drupal 9."
monolog_elasticsearch_date_processor;"This module is compatible with Drupal 9"
og_nonmember_editor;"Fully compatible as of 8.x-1.0-rc4."
onehub;"Drupal 9 is fully supported since version 8.x-1.0-beta1."
official_docs;"The 9.x branch is up-to-date for Drupal 9+"
oai_pmh_harvester;"Works on D9."
package_field;"Drupal 9 compatible."
node_body_class;"Compatible with Drupal 9"
orange_starter;"Drupal 9 ready!"
oswald;"We plan to build this D8 and D9 safe"
notification_system;"Help port this project at [#3161977]"
norwegian_id;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091443]"
moderation_state_columns;"8.x-1.x-dev is Drupal 9 compatible."
pmfs;"Supports Drupal 9!"
pingdom_rum;"This module is compatible with Drupal 9 starting from the 2.0.1 release"
media_placeholder;"Compatible with Drupal 9!"
pixelsize;READY!
presspatron;"Fully supported as of 8.x-1.0-beta1."
migrate_destination_field_value;"Drupal 9 ready"
performance_budget;"This module supports Drupal 9. Work completed in [#3106206] and [#3071680]"
patternkit;"Drupal 8 and Drupal 9 versions will be kept in parity until the 1.0 release, after which Drupal 8 1.0 will be marked LTS and new development will happen in the Drupal 9 branch."
paydirectfpx;"<ol>  <li>Read more about this module at https://www.paydirect.my</li>  <li>If you got any problem, feel free to contact us at support@paydirect.my</li>  </ol>"
phpinsights;[#3086288]
metals_api;"The version 9.x release of the Metals API module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
pf_email;"This project is ready for Drupal 9"
sponsor;"the 1.0 version is compatible with Drupal 9."
entity_clone_template;"8.x-1.+ is compatible with Drupal 9"
static_root_page;"2019-07-31: No drupal-check errors in this module"
stop_admin;"This module is Drupal 9 ready."
smsru;"Ready to port in any time, no deperaction usage, will be ported as soon as possible."
env_libraries;"Env Libraries supports Drupal 9."
smart_sql_idmap;"Smart SQL ID Map is compatible with Drupal 9"
entity_sync;"We have not reviewed the code with Drupal 9 in mind yet, however, the module is fully written in modern OOP PHP and we don't expect major issues. Follow and contribute to the <a href=""https://www.drupal.org/project/entity_sync/issues/3161127"">Drupal 9 compatibility</a> issue."
entity_share_websub;"Drupal 9 ready"
eventer;"Working, It may require a clear cache."
differential_serve;"This module is compatible with Drupal 9."
dhtml_menu;[3091317]
domain_exception;"In progress in development"
dfinance;"Development will switch from Drupal 8 to Drupal 9 on release, first full release of Drupal Finance expected to be a Drupal 9 release."
tellstick;"Beta2 has been tested with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade Status</a> for Drupal 9."
drusys_landing_page_builder;"Drupal 9 Available."
studentsdbexample;[#3119081]
download_statistics;"This module is Drupal 9 ready."
do_username;"The latest 8.x-1.x release is compatible with Drupal 9."
drush_blackfire;"I'm committed to supporting this with Drupal 9. There is no ""Drupal"" code in this module so it mostly needs to be tested and requirements updated so it runs in Drush 10."
gem_checklist;"Fully compatible with Drupal 9"
georef_ar;"Drupal 9 compatible!"
freeagent;"This module is Drupal 9 compatible."
shifting_layout_blocks;"The module is Drupal 9 compatible."
grid_view_bootstrap;"This is Drupal 9 ready."
sansdesordre;"This module is Drupal 9 ready."
gsuite;"Built with D9 in mind!"
graphql_extras;"Is Drupal 9 compatible."
git_info;"Version 2.x is Drupal 9 compatible"
gophish;"Porting this project to Drupal 9 is currently on the roadmap."
search_api_meilisearch;"Working with Drupal 9 since the initial release."
site_complexity;"Site Complexity 8.x-1.x-beta3 contains no deprecated code."
feeds_dm;"Currently supported on Drupal 9.x"
fieldable_panels_panes;"Will be supported in the 1.0.x as a migration path to core blocks."
simple_sitemap_auth;"Drupal 9 ready"
simple_tmgmt;"Is Drupal 9 compatible"
extended_container;"This project will be ported to Drupal 9 soon."
slack_rtm;"Drupal 9 is fully supported since version 8.x-1.0-alpha6."
site_settings_path_alias;"This module is ready for Drupal 9!"
site_version;"Compatible with Drupal 9"
sitewide_msg;"No Drupal 8/9 version is expected, we kindly asking you to point your attention to the similar module <a href=""https://www.drupal.org/project/site_alert"">Site Alert</a> and to consolidate efforts over there."
ez_drupalsettings;"I believe it works with Drupal 9 but may need some syntactical clean-up."
external_link_change;"External link change 8.x-1.x-dev supports Drupal 9. Enjoy."
simplenews_mailjet_subscriptions;"This project is Drupal 9 ready."
fills;"We will do a drupal 9 port of it when bootstrap barrio create a drupal 9 version."
file_update;"Ported to D9."
